證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用準則,最大深度,排名
2436,偉詮電       ,200012,5691,18.27,0.35963491348208,1.0005,1.2749,0.21475,0.25638,0.21052,0.33012,0.19384,485.67,417.96,6.85,4.03,126.95,105.14,52.4904,1,2000,1.0,1999,2000,gini,5,7
2492,華新科       ,200012,6142,16.14,0.706917419322763,0.41321,0.58037,0.11637,0.15037,0.22441,0.21123,0.29217,282.52,184.59,3.38,3.99,747.51,456.08,87.1128,1,2000,1.0,1999,2000,gini,5,8
5326,漢磊         ,200012,4982,27.97,0.597211350337855,1.5209,1.3744,0.11629,0.22288,0.24007,0.20145,0.91654,136.55,94.29,5.91,6.38,706.78,847.8,-13.0854,0,2000,1.0,1999,2000,gini,5,9
2418,雅新         ,200012,4788,5.61,0.0537543922087138,0.26045,0.1865,0.069962,0.14926,0.13297,0.10689,1.1335,128.4,65.95,3.43,3.73,81.98,43.21,177.3619,1,2000,1.0,1999,2000,gini,5,10
1319,東陽         ,200112,5553,9.16,0.163512368527526,0.7564,0.50109,0.024516,0.060088,0.060952,0.042937,1.451,67.43,50.67,9.74,3.57,1190.5,344.39,121.9432,1,2001,0.8888888888888888,2000,2001,gini,5,1
2366,亞旭         ,200112,11136,23.87,0.313428989936591,1.2847,0.57825,0.041075,0.077467,0.040269,0.03486,0.88598,128.6,81.58,4.61,5.28,503.92,69.75,-0.41894,1,2001,0.8888888888888888,2000,2001,gini,5,2
2323,中環         ,200112,56504,19.99,0.388271631047802,1.0566,2.0998,0.049579,0.083585,0.18215,0.16671,0.6859,145.15,105.28,5.0,4.67,285.06,-29.81,-34.4172,0,2001,0.7142857142857143,2000,2001,gini,5,3
2352,佳世達       ,200112,69054,40.31,0.685028472661609,1.9521,0.74304,0.043771,0.10151,0.046295,0.041129,1.319,123.29,76.24,5.84,6.29,172.22,-37.78,-10.5929,0,2001,0.7142857142857143,2000,2001,gini,5,4
1304,台聚         ,200112,5284,4.08,0.767329510776574,0.34171,0.54839,-0.012414,-0.022906,0.026154,-0.040518,0.84521,150.76,52.84,7.95,11.69,239.16,-158.51,41.6667,1,2001,0.7142857142857143,2000,2001,gini,5,5
2321,東訊         ,200112,6758,18.22,0.0985187376881084,1.2996,0.56044,0.0086738,0.015674,0.0091637,0.0067591,0.80708,120.1,77.79,5.62,4.21,245.26,-81.75,-38.9133,0,2001,0.7142857142857143,2000,2001,gini,5,6
8008,建興電       ,200112,34486,28.8,0.784427890743913,1.1483,0.35113,0.14364,0.32194,0.11713,0.098461,1.2413,183.19,131.58,5.09,7.82,50.54,81.72,20.0347,1,2001,0.7096774193548387,2000,2001,gini,5,7
2386,國電         ,200112,37723,102.1,0.104846247115757,3.316,1.2334,0.14507,0.24989,0.083833,0.092933,0.72255,173.93,128.01,9.3,5.49,75.54,75.19,-6.0823,1,2001,0.7096774193548387,2000,2001,gini,5,8
1103,嘉泥         ,200112,5177,6.5,0.419048293624883,0.38012,0.47204,0.00083969,0.0025873,0.12748,0.0048003,2.0812,117.97,83.34,1.53,3.08,12.61,132.95,98.0,1,2001,0.7096774193548387,2000,2001,gini,5,9
2614,東森         ,200112,5024,4.19,0.852263890343846,0.47995,0.70658,-0.015943,-0.03394,0.028864,-0.052728,1.1288,89.18,42.34,4.82,27.81,-71.76,88.58,-13.6038,0,2001,0.7096774193548387,2000,2001,gini,5,10
1303,南亞         ,200212,186434,14.81,0.604990641908259,0.66413,0.64956,0.049807,0.098902,0.069682,0.097377,0.98571,179.97,101.74,4.89,6.0,1520.64,317.08,78.5955,1,2002,1.0,2001,2002,gini,5,1
2618,長榮航       ,200212,35526,20.98,0.275069755821935,1.4519,0.78783,0.022833,0.075258,0.078318,0.040842,2.296,78.15,44.04,0.0,10.5,1438.52,183.08,-2.3832,0,2002,1.0,2001,2002,gini,5,2
2609,陽明         ,200212,23479,7.14,0.137868992412558,0.51777,0.23541,0.019041,0.046617,0.018802,0.02119,1.4482,169.14,132.64,0.0,27.04,528.58,268.2,168.4874,1,2002,1.0,2001,2002,gini,5,3
1434,福懋         ,200212,22656,8.39,0.217801593712125,0.62659,0.6023,0.046988,0.084287,0.056889,0.081838,0.79379,118.26,52.35,3.69,6.81,-9.49,89.16,5.3635,0,2002,1.0,2001,2002,gini,5,4
2327,國巨         ,200212,20286,8.3,0.106941658550207,0.51393,1.2188,-0.073828,-0.12715,0.0038261,-0.30147,0.72218,101.19,66.0,1.95,4.02,-98.34,-236.79,67.8313,1,2002,1.0,2001,2002,gini,5,5
2325,矽品         ,200212,31859,8.6,0.98610424189597,0.60014,0.70434,0.0091962,0.016242,0.024516,0.019068,0.76617,216.78,174.89,14.56,5.48,7871.91,135.46,105.814,1,2002,1.0,2001,2002,gini,5,6
