證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,訓練年份,測試年份,使用準則,最大深度,選股類型
2333,碧悠         ,199812,14410,50.61,0.0305409463046367,3.4104,6.1271,0.04844,0.063822,0.098109,0.11467,0.31754,197.25,87.91,2.87,5.73,732.79,59.5,41.8494,1,1998,1997,1998,gini,5,預測為高於平均
1507,永大         ,199812,13639,18.42,0.904722238067363,1.0222,1.3923,0.069737,0.095214,0.099523,0.13151,0.36533,218.89,144.57,2.12,3.65,-30.84,0.37,-39.3594,0,1998,1997,1998,gini,5,預測為高於平均
5605,遠航         ,199812,13557,29.56,0.617666389588455,2.6252,3.1018,0.0099382,0.024772,-0.10264,0.032161,1.4926,157.08,136.26,0.0,33.47,-361.83,-64.47,-36.502,0,1998,1997,1998,gini,5,預測為高於平均
2334,國豐         ,199812,12674,25.0,0.489901388512224,2.1313,1.8868,0.032574,0.057118,-0.070552,0.050584,0.75346,72.34,36.34,4.53,7.36,-4023.66,-73.11,-64.0,0,1998,1997,1998,gini,5,預測為高於平均
2422,國聯         ,199812,12529,47.03,0.712694471678914,2.4495,4.7077,0.18401,0.21798,0.35846,0.41874,0.18465,778.48,606.98,2.25,6.08,153.0,106.08,-21.2843,0,1998,1997,1998,gini,5,預測為高於平均
2905,三商行       ,199812,12290,16.04,0.471088374541939,1.1565,0.31291,0.032312,0.075018,0.031835,0.020296,1.3217,89.55,30.66,6.07,19.01,-2.78,-45.06,10.7232,1,1998,1997,1998,gini,5,預測為高於平均
2608,大榮         ,199812,12001,20.4,0.681971904149063,1.5502,2.6221,0.011783,0.015426,0.1174,0.026085,0.3091,155.34,150.94,0.0,6.71,-16.91,-85.8,-52.402,0,1998,1997,1998,gini,5,預測為高於平均
1714,和桐         ,199812,11100,14.44,0.722439592366842,0.87942,0.68664,0.059299,0.080457,0.10391,0.077571,0.35681,251.89,149.74,12.64,5.38,47.16,36.42,-11.8421,0,1998,1997,1998,gini,5,預測為高於平均
1229,聯華         ,199812,11083,9.59,0.149865442477967,0.70671,1.8585,0.016164,0.021726,0.044815,0.057139,0.34407,141.63,95.95,5.56,5.27,-10.19,-67.45,-19.8123,0,1998,1997,1998,gini,5,預測為高於平均
2338,光罩         ,199812,10470,16.05,0.45379770872692,1.0779,2.2606,0.04913,0.090638,0.16142,0.19018,0.84487,377.81,327.13,10.83,3.39,-55.1,-53.6,-23.676,0,1998,1997,1998,gini,5,預測為高於平均
